"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+and+Test+in+Europe+Conference+and+Exhibition%29+AND+2002%29",2015/06/23 14:53:21
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An optimal algorithm for the automatic generation of March tests","Benso, A.; Di Carlo, S.; Di Natale, G.; Prinetto, P.","Dipt. di Automatica e Informatica, Politecnico di Torino, Italy","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","938","943","Among the different types of algorithms proposed to test random access memories (RAM), March tests have proven to be faster, simpler, regularly structured and linear in complexity. A March test consists of a sequence of March elements, each composed of a sequence of basic read/write operations to be performed on each cell of the memory, in either ascending or descending order, before proceeding to the next memory cell. The complexity of a March test is given by the number of memory operations in all March elements performed on each memory cell. This paper presents an innovative algorithm for the automatic generation of March tests. The proposed approach is able to generate an optimal March test for an unconstrained set of memory faults in very low computation time.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998412","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998412","","Algorithm design and analysis;Automatic test pattern generation;Automatic testing;Joining processes;Performance evaluation;Postal services;Random access memory;Read-write memory;Test pattern generators;Upper bound","automatic test pattern generation;fault diagnosis;integrated memory circuits;logic testing;optimisation;random-access storage","March element sequence;March test automatic generation;March test complexity;RAM;ascending memory cell order;descending memory cell order;memory cell basic read/write operations;optimal test sequence algorithm;unconstrained memory fault set","","6","","15","","","2002","","IEEE","IEEE Conference Publications"
"Analog IP testing: diagnosis and optimization","Guardiani, C.; McNamara, P.; Daldoss, L.; Zanella, S.; Saxena, S.; Suli Liu; Wei Xiang","PDF Solutions Inc., San Jose, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","192","196","In this paper we present an innovative methodology to estimate and improve the quality of analog and mixed-signal circuit testing. We first detect and reduce the redundancy in the electrical test measurements (e-tests), then we identify the e-test acceptability regions by considering performance specifications as well as process parameter distributions. Finally, we provide an effective metric for the accurate assessment of the parametric test coverage of embedded analog IP. Experimental results confirm the validity of the proposed methodology and its broad applicability to analog, mixed-signal and RF applications for different process technologies","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998269","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998269","","Automatic testing;Circuit faults;Circuit testing;Controllability;Electric variables measurement;Logic testing;Observability;Principal component analysis;Radio frequency;Redundancy","SPICE;analogue integrated circuits;integrated circuit testing;mixed analogue-digital integrated circuits;redundancy;statistical analysis;surface fitting","RF applications;analog IP testing;analog circuit testing;electrical test measurements;embedded analog IP;mixed-signal circuit testing;optimization;parametric test coverage metric;performance specifications;process parameter distributions;redundancy;response surface methodology;statistical SPICE models","","0","","19","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An interconnect-aware methodology for analog and mixed signal design, based on high bandwidth (over 40 GHz) on-chip transmission line approach","Goren, D.; Zelikson, M.; Galambos, T.C.; Gordin, R.; Livshitz, B.; Amir, A.; Sherman, A.; Wagner, I.A.","IBM Haifa Res. & Dev. Labs., Israel","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","804","811","This paper presents an on-chip, interconnect-aware methodology for high-speed analog and mixed signal (AMS) design which enables early incorporation of on-chip transmission line (T-line) components into AMS design flow. The proposed solution is based on a set of parameterized T-line structures, which include single and two coupled microstrip lines with optional side shielding, accompanied by compact true transient models. The models account for frequency dependent skin and proximity effects, while maintaining passivity requirements due to their pure RLC nature. The signal bandwidth supported by the models covers a range from DC to 100 GHz. The models are currently verified in terms of S-parameter data against hardware (up to 40 GHz) and against EM solver (up to 100 GHz). This methodology has already been used for several designs implemented in SiGe (silicon-germanium) BiCMOS technology.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998391","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998391","","Bandwidth;Couplings;Frequency dependence;Germanium silicon alloys;Microstrip;Power system transients;Signal design;Silicon germanium;Skin;Transmission lines","BiCMOS integrated circuits;S-parameters;analogue integrated circuits;coupled transmission lines;electromagnetic shielding;integrated circuit interconnections;integrated circuit layout;microstrip lines;mixed analogue-digital integrated circuits;skin effect;transient response;transmission line theory","0 to 100 GHz;100 GHz;40 GHz;EM solver;RLC passivity;SiGe;SiGe BiCMOS technology;T-line components;analog-mixed signal design;coupled microstrip lines;frequency dependent skin effects;hardware S-parameter data;high bandwidth on-chip transmission line approach;high-speed AMS design flow;interconnect-aware design methodology;parameterized T-line structures;proximity effects;side shielding;signal bandwidth range;single microstrip lines;transient models","","10","4","30","","","2002","","IEEE","IEEE Conference Publications"
"Systematic design of a 200 MS/s 8-bit interpolating A/D converter","Vandenbussche, J.; Lauwers, E.; Uyttenhove, K.; Gielen, G.; Steyaert, M.","Dept. of Electr. Eng., Katholieke Univ. Leuven, Heverlee, Belgium","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","357","361","The systematic design of a high-speed, high-accuracy Nyquist A/D converter is proposed The presented design methodology covers the complete flow and is supported by software tools. A generic behavioral model is used to explore the A/D converter's specifications during high-level design and exploration. The inputs are the specifications of the A/D converter and the technology process. The result is a generated layout and the corresponding extracted behavioral model. The approach has been applied to a real-life test case, where a Nyquist-rate 8-bit 200 MS/s 4-2 interpolating A/D converter was developed for a WLAN application","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998298","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998298","","Assembly systems;Circuits;Decoding;Design methodology;Error correction;Hardware design languages;Mathematical model;Preamplifiers;Software tools;Testing","CMOS integrated circuits;analogue-digital conversion;circuit CAD;circuit layout CAD;high level synthesis;high-speed integrated circuits;integrated circuit design;interpolation","0.35 micron;30 MHz;43 dB;8 bit;A/D converter;CMOS process;behavioral model;converter specifications;design methodology;generated layout;generic behavioral model;high-accuracy Nyquist ADC;high-level design;high-speed ADC design;interpolating ADC;interpolating/averaging architecture;software tools","","3","","13","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Practical instruction set design and compiler retargetability using static resource models","Qin Zhao; Mesman, B.; Basten, T.","Eindhoven Univ. of Technol., Netherlands","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1021","1026","The design of application (-domain) specific instruction-set processors (ASIPs), optimized for code size, has traditionally been accompanied by the necessity to program assembly, at least for the performance critical parts of the application. The highly encoded instruction sets simply lack the orthogonal structure present in e.g. VLIW processors, that allows efficient compilation. This lack of efficient compilation tools has also severely hampered the design space exploration of code-size efficient instruction sets, and correspondingly, their tuning to the application domain. In Zhao et al (Proc. 14th Int. Symp. on System Synthesis, 2001), a practical method is demonstrated to model a broad class of highly encoded instruction sets in terms of virtual resources easily interpreted by classic resource constrained schedulers (such as the popular list-scheduling algorithm), thereby allowing efficient compilation with well understood compilation tools. In this paper we will demonstrate the suitability of this model to also enable instruction set design (-space exploration) with a simple, well-understood and proven method long used in the high-level synthesis (HLS) of ASICs. A small case study proves the practical applicability of the method","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998425","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998425","","Acceleration;Application specific processors;Assembly;Design optimization;Hardware;High level synthesis;Instruction sets;Laboratories;System-on-a-chip;VLIW","application specific integrated circuits;circuit CAD;high level synthesis;instruction sets;integrated circuit design;microprocessor chips;microprogramming;program compilers","ASIC;ASIP;VLIW processors;application domain;application specific instruction set processors;application-domain specific instruction set processors;assembly programming;code size;code-size efficient instruction sets;compilation efficiency;compilation tools;compiler retargetability;design space exploration;high-level synthesis;highly encoded instruction sets;instruction set design;instruction set space exploration;list-scheduling algorithm;orthogonal structure;resource constrained schedulers;static resource models;virtual resources","","2","","13","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Optimization techniques for design of general and feedback linear analog amplifiers with symbolic analysis","Tran chi Hieu","Inst. for Network Theor. & Circuit Design, Braunschweig, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1104","","The analysis of linear analog amplifiers at the beginning of the design process shows in some cases an unwanted resonance in the amplitude response or an unwanted overshooting in the time domain.. It is important for the designer to know design methods for compensating this effect. An approach of the symbolic analysis, that supports the representation of a signal-flow graph with feedback for an amplifier circuit, will be introduced. The method is based on the node analysis and mathematical handling of symbolic expressions. Using the proposed approach the feedback, the open-loop gain and the loop gain can be analyzed and calculated. With the analysis of pole-zero of the symbolic loop gain, parameters of the amplifier can be determined for the compensation of the amplitude response","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998460","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998460","","Circuit synthesis;Design methodology;Design optimization;Equations;Feedback circuits;Network theory (graphs);Process design;Resonance;Signal analysis;Time domain analysis","CMOS analogue integrated circuits;circuit optimisation;feedback amplifiers;poles and zeros;signal flow graphs;symbol manipulation;time-domain analysis","amplitude response;design process;feedback linear analog amplifiers;loop gain;mathematical handling;node analysis;open-loop gain;pole-zero;signal-flow graph;symbolic analysis;symbolic expressions;time domain","","1","","","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Techniques to evolve a C++ based system design language","Pasko, R.; Vernalde, S.; Schaumont, P.","Interuniv. Microelectron. Center, Leuven, Belgium","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","302","309","Complex systems-on-chip present one of the most challenging design problems. To meet this challenge, new design languages capable of modelling such heterogeneous, dynamic systems are needed. For implementation of such a language, the use of an object oriented C++ class library has proven to be a promising approach, since new classes dealing with design- and platform-specific problems can be added in a conceptual and seamlessly reusable way. This paper shows the development of such an extension aimed to provide a platform-independent high-level structured storage object through hiding of the low-level implementation details. It results in a completely virtualised, user-extendible component, suitable for use in heterogeneous systems","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998289","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998289","","Data structures;Design methodology;Hardware;Intellectual property;Libraries;Microelectronics;Object oriented modeling;Object oriented programming;Process design;System-on-a-chip","C++ language;circuit CAD;integrated circuit design;object-oriented methods","C++ based system design language;design languages;design-specific problems;heterogeneous dynamic systems;heterogeneous systems;hidden low-level implementation details;object oriented C++ class library;platform-independent high-level structured storage object;platform-specific problems;system-on-chip design;virtualised user-extendible component","","4","","14","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A test design method for floating gate defects (FGD) in analog integrated circuits","Pronath, M.; Graeb, H.; Antreich, K.","Inst. for Electron. Design Autom., Technische Univ. Munich, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","78","83","A unified approach to fault simulation for FGDs is introduced. Instead of a direct fault simulation, the proposed approach calculates indirectly from the simulator output the sets of undetectable values of the trapped charge on the floating gate transistor It covers all potential gate charges of an FGD at one or more transistors and allows the application of conventional circuit simulators for simulating DC, AC and transient test. Based on this fault simulation, a test design methodology is presented that can determine all test sets that detect all FGDs for all possible values of gate charge","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998252","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998252","","Analog circuits;Analog integrated circuits;Automatic testing;Circuit faults;Circuit simulation;Circuit testing;Costs;Design methodology;Integrated circuit testing;Semiconductor device modeling","CMOS analogue integrated circuits;analogue integrated circuits;circuit simulation;fault simulation;integrated circuit testing;transient analysis","CMOS;FGDs;analog integrated circuits;circuit simulators;fault simulation;floating gate defects;floating gate transistor;simulator output;test design method;test design methodology;transient test;trapped charge;undetectable values","","0","","13","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"The Fraunhofer Knowledge Network (FKN) for training in critical design disciplines","Elst, G.; John, W.; Krahn, L.; Sauer, A.","Fraunhofer Inst. IIS/EAS, Dresden, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1129","","The Fraunhofer Gesellschaft (FhG) in Germany has started the project FKN which aims to reduce bottlenecks in the supply of ICT skills by implementing research training in leading educational centres under the guidance of industry in a critical discipline of microelectronics design and test: Design under electromagnetic compatibility (EMC) constraints and analogue/mixed signal design.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998485","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998485","","Application software;Business;Electromagnetic compatibility;Industrial training;Intelligent networks;Microelectronics;Personnel;Programming;Signal design;Testing","electromagnetic compatibility;electronic engineering education;integrated circuit design;training","Fraunhofer Knowledge Network;ICT skills;analogue/mixed signal design;educational centres;electromagnetic compatibility;microelectronics design;training","","0","","","","","2002","","IEEE","IEEE Conference Publications"
"Comparative analysis and application of data repository infrastructure for collaboration-enabled distributed design environments","Indrusiak, L.S.; Glesner, M.; Reis, R.","Informatica, Univ. Fed. do Rio Grande do Sul, Porto Alegre, Brazil","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1130","","A collaborative design system depends heavily on the chosen collaboration methodology, as well as on its technological infrastructure. This paper presents three data repository technologies and discusses their pros and cons on the role of supporting a collaborative design system","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998486","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998486","","Collaborative tools;Database systems;Design automation;Electrical capacitance tomography;Electronic design automation and methodology;Hoses;Online Communities/Technical Collaboration;Relational databases;Space technology;Technology management","electronic design automation;object-oriented databases;open systems;relational databases","collaborative design;data repository;data sharing;interoperability;object-oriented database management systems;relational database management systems;shared object spaces","","0","","2","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An EMC-compliant design method for high-density integrated circuits","Ramdani, M.; Levanv, J.-L.","Ecole Superieure d''Electronique de l''Ouest, Angers, France","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1115","","This paper deals with an innovative method of EMC-compliant design. This technique helps to optimize emission level as soon as in the design phase, and provides noise-related solutions which will be evaluated and integrated into the silicon. This method allows to model the activity of thousand-gate circuits thanks to only two current generators which represent supply current consumption in the VDD and the VSS rails. This allows EMC evaluation and optimization (conducted noise) for a packaged integrated circuit within its electrical environment","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998470","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998470","","Current supplies;Design methodology;Design optimization;Electromagnetic compatibility;Integrated circuit noise;Noise level;Phase noise;Rails;Silicon;Variable structure systems","circuit optimisation;electromagnetic compatibility;elemental semiconductors;integrated circuit design;integrated circuit noise;low-power electronics;power supply circuits;silicon","EMC;EMC compliant design;Si;VDD;VSS rails;conducted noise;emission level;optimization;packaged integrated circuit;silicon;supply current consumption;thousand-gate circuits","","0","","","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Power crisis in SoC design: strategies for constructing low-power, high-performance SoC designs","Brock, K.; Edwards, C.; Lannoo, R.; Schlichtmann, U.; Domic, A.; Benkoski, J.; Overhauser, D.; Kliment, M.","Virtual Silicon, US","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","538","538","This special panel session brings together several leading technologists to discuss the challenges and solutions in constructing SoC designs that achieve their performance goals within a very tight power budget. These challenges are addressed from the often conflicting perspectives of semiconductor design teams and commercial solutions providers of EDA construction tools, EDA analysis tools and semiconductor IP (SIP).","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998352","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998352","","Design methodology;Design optimization;Electronic design automation and methodology;Electronic equipment testing;LAN interconnection;Performance analysis;Signal design;Signal synthesis;Silicon;Timing","","","","0","","","","","4-8 March 2002","","IEEE","IEEE Conference Publications"
"Beyond UML to an end-of-line functional test engine","Baldini, A.; Benso, A.; Prinetto, P.","Dipt. di Automatica e Informatica, Politecnico di Torino","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","499","503","In this paper, we analyze the use of UML as a starting point to go from design issues to end of production testing of complex embedded systems. The first point is the analysis of the big gap between system signals and UML messages; then the paper focuses on the additional information necessary to fill such gap; different test types are considered, focusing on the application software test; finally the actuation and observation are both analyzed inside the test environment, with particular care to the black-box requirement for behavioral testing. The emphasis of the work is on the resulting test engine definition, verified on a complex case study of a top-of-the-line automotive application; this application is a modern car console, grouping many controls of car-related devices, such as phone, navigation, radio, CD. The testing of GSM capabilities of such device is studied in particular.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998347","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998347","","Application software;Automotive applications;Embedded system;Engines;Information analysis;Production systems;Signal analysis;Software testing;System testing;Unified modeling language","automatic test software;automotive electronics;design for testability;embedded systems;production testing;software standards;specification languages","CD;GSM;UML;Unified Modeling Language;application software test;automotive application;car console;complex embedded systems;navigation;phone;production testing;radio;test engine","","0","","11","","","2002","","IEEE","IEEE Conference Publications"
"Formulation of SOC test scheduling as a network transportation problem","Koranne, S.; Choudhary, V.S.","Tanner Res. Inc., Pasadena, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1125","","Summary form only given. Reusability of tests is crucial for reducing total design time. This raises the problem of test knowledge transfer, physical test application and test scheduling. We present a formulation of the embedded core-based system-on-chip (SOC) test scheduling problem (ECTSP) as a network transportation problem. The problem is NP-hard and we present a O(mn(m+2n)) 2-approximation algorithm using the result of the single source unsplittable flow problem (U<sub>FP</sub>). We have implemented a Test Planner Tool TFLOW with the Common Lisp language using the U<sub>FP</sub> algorithm given by Dinitz et al. (1999)","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998481","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998481","","Built-in self-test;Clocks;Knowledge transfer;Partitioning algorithms;Performance evaluation;Polynomials;Processor scheduling;System testing;System-on-a-chip;Transportation","VLSI;application specific integrated circuits;automatic test software;flow graphs;integrated circuit testing;scheduling","Common Lisp language;NP-hard problem;SoC test scheduling;TFLOW test planner tool;approximation algorithm;capacitated directed graph;embedded core-based SoC;network transportation problem;single source unsplittable flow problem;system-on-chip testing","","1","","2","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"High-level modeling and design of asynchronous arbiters for on-chip communication systems","Rigaud, J.-B.; Quartana, J.; Fesquet, L.; Renaudin, M.","TIMA Lab., Grenoble, France","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1090","","Summary form only given. This work presents the design of complex arbitration modules, like those required in SoC communication systems. Clock-less, delay-insensitive arbiters are studied from the perspective of making easier and more practical the design of future GALS or GALA SoCs. This work focuses on high-level modeling and delay-insensitive implementations of low-power and reliable fixed and dynamic priority arbiters","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998447","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998447","","CMOS process;CMOS technology;Circuit simulation;Circuit synthesis;Clocks;Cogeneration;Delay;Libraries;Synchronization;System-on-a-chip","CMOS logic circuits;VLSI;asynchronous circuits;circuit CAD;high level synthesis;integrated circuit design;low-power electronics","CMOS technology;GALA SoCs;GALS SoCs;SoC communication systems;asynchronous arbiters;automated synthesis process;clockless arbiters;complex arbitration modules;delay-insensitive arbiters;delay-insensitive implementations;dynamic priority arbiters;high-level behavioral specifications;high-level modeling;low-power arbiters;on-chip communication systems","","0","","4","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An efficient test and diagnosis scheme for the feedback type of analog circuits with minimal added circuits","Jun Weir Lin; Chung Len Lee; Jwu-E Chen","Dept. of Electron. Eng., Nat. Chiao Tung Univ., Hsinchu, Taiwan","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1119","","This paper presents a test and diagnosis scheme for feedback type of linear analog circuits with minimal added circuits. For testing, the scheme transforms the circuit-under-test (CUT) into an oscillation circuit by (1) increasing the loop gain of the circuit, and/or (2) reconfiguring the circuit through selectively powering-off operational amplifiers (OP) of the circuit. This eliminates the need of added global paths as in the conventional oscillation test scheme. For diagnosis, the scheme transforms the circuit into a Schmitt trigger type of circuit with a positive-feedback. The output of the circuit under an applied triangular input gives signatures which are used to identify faults. Benchmark circuits have been applied with this scheme and results show that it is very effective for testing and diagnosing the feedback type of linear analog circuit.","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998475","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998475","","Analog circuits;Benchmark testing;Circuit faults;Circuit testing;Electronic equipment testing;Fault diagnosis;Feedback circuits;Operational amplifiers;Power amplifiers;Trigger circuits","analogue circuits;circuit feedback;circuit testing;fault diagnosis;operational amplifiers;trigger circuits","Schmitt trigger;added global paths;benchmark circuits;circuit under test;diagnosis;linear analog circuits;loop gain;operational amplifiers;oscillation circuit;positive feedback;signatures;test;triangular input","","0","","","","","2002","","IEEE","IEEE Conference Publications"
"Networks on chip: a new paradigm for systems on chip design","Benini, L.; De Micheli, G.","DEIS, Bologna Univ., Italy","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","418","419","This paper is meant to be a short introduction to a new paradigm for systems on chip (SoC) design. The premises are that a component-based design methodology will prevail in the future, to support component re-use in a plug-and-play fashion. At the same time, SoCs will have to provide a functionally-correct, reliable operation of the interacting components. The physical interconnections on chip will be a limiting factor for performance and energy consumption","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998307","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998307","","Clocks;Electrical capacitance tomography;Electromagnetic interference;Energy consumption;Frequency synchronization;Network-on-a-chip;Propagation delay;System-on-a-chip;Timing;Wires","application specific integrated circuits;integrated circuit design;integrated circuit interconnections;low-power electronics","SoC design;component-based design methodology;energy consumption;functionally-correct reliable operation;networks on chip;physical interconnections;plug/play fashion;systems on chip design","","89","","23","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Test structure for I<sub>C</sub>(V<sub>BE</sub>) parameter determination of low voltage applications","Rahajandraibe, W.; Dufaza, C.; Auvergne, D.; Cialdella, B.; Majoux, B.; Chowdhury, V.","LIRMM, Univ. de Montpellier II, France","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","316","321","The temperature dependence of the I<sub>C</sub>(V<sub>BE</sub>) relationship can be characterised by two parameters: E<sub>G</sub> and X <sub>TI</sub>. The classical method to extract these parameters consists in a ""best fitting"" from measured V<sub>BE</sub>(T) values, using least square algorithm at constant collector current. This method involves an accurate measurement of Y<sub>BE</sub> voltage and an accurate value of the operating temperature. We propose in this paper, a configurable test structure dedicated to the extraction of temperature dependence of I<sub>c</sub>(V<sub>BE</sub>) characteristic for BJT designed with bipolar or BiCMOS processes. This allows a direct measurement of die temperature and consequently an accurate measurement of V<sub>BE</sub>(T). First, the classical extraction method is explained. Then, the implementation techniques of the new method are discussed, the improvement of the design is presented","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998291","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998291","","BiCMOS integrated circuits;Current measurement;Design methodology;Hip;Integrated circuit testing;Low voltage;Photonic band gap;Stability;Telephony;Temperature distribution","BiCMOS integrated circuits;bipolar integrated circuits;integrated circuit testing;least squares approximations;low-power electronics;network parameters;temperature distribution","BiCMOS processes;best fitting;bipolar processes;configurable test structure;constant collector current;die temperature;least square algorithm;low voltage applications;operating temperature;parameter determination","","0","","13","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Bio-inspired analog VLSI design realizes programmable complex spatio-temporal dynamics on a single chip","Carmona, R.; Jimenez-Garrido, F.; Domfnguez-Castro, R.; Espejo, S.; Rodriguez-Vazquez, A.","Instituto de Microelectron. de Sevilla, IMSE-CNM-CSIC, Seville, Spain","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","362","366","A bio-inspired model for an analog parallel array processor (APAP), based on studies on the vertebrate retina, permits the realization of complex spatio-temporal dynamics in VLSI. This model mimics the way in which images are processed in the visual pathway what renders a feasible alternative for the implementation of early vision tasks in standard technologies. A prototype chip has been designed in 0.5 μm CMOS. Design challenges, trade-offs and the building blocks of such a high-complexity system (0.5×10<sup>6</sup> transistors, most of them operating in analog mode) are presented in this paper","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998299","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998299","","Biological system modeling;Cellular neural networks;Electronic mail;Photodetectors;Prototypes;Rendering (computer graphics);Retina;Semiconductor device modeling;Spatiotemporal phenomena;Very large scale integration","CMOS analogue integrated circuits;VLSI;analogue processing circuits;biomimetics;computer vision;integrated circuit design;integrated circuit modelling;parallel processing;programmable circuits","0.5 micron;CMOS single chip;VLSI design;analog parallel array processor;artificial vision;bio-inspired model;image processing;programmable complex spatio-temporal dynamics;vertebrate retina","","1","","5","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Make your SOC design a winner: select the right memory IP","Ratford, V.","","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","15","","The 2000 SIA roadmap shows over 50% of the area in an SOC being occupied by embedded memory. The selection of the memory IP and supplier is critical to the success of the design and the ramp to volume. The Memory IP can determine yield, reliability, cost, speed and/or power. The author helps you navigate through the evaluation process by discussing key requirements and possible solutions when evaluating memory for your next SOC design","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998242","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998242","","Costs;Intellectual property;Logic design;Logic testing;Manufacturing;Navigation;Production;Random access memory;Silicon;System-on-a-chip","embedded systems;industrial property;integrated circuit design;integrated memory circuits","embedded memory IP;semiconductor intellectual property;system-on-chip design","","2","","","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"System design for flexibility","Haubelt, C.; Teich, J.; Richter, K.; Ernst, R.","DATE, Paderborn Univ., Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","854","861","With the term flexibility, we introduce a new design dimension of an embedded system that quantitatively characterizes its feasibility in implementing not only one, but possibly several alternative behaviors. This is important when designing systems that may adapt their behavior during operation, e.g., due to new environmental conditions, or when dimensioning a platform-based system that must implement a set of different behaviors. A hierarchical graph model is introduced that allows us to model flexibility and cost of a system formally. Based on this model, an efficient exploration algorithm to find the optimal flexibility/cost-tradeoff-curve of a system using the example of the design of a family of set-top boxes is proposed","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998399","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998399","","Algorithm design and analysis;Automatic testing;Costs;Design automation;Embedded system;Hardware;Power system modeling;Reconfigurable architectures;Runtime;Switches","adaptive systems;cost-benefit analysis;embedded systems;formal specification;graph theory;hierarchical systems;optimisation;systems analysis;systems engineering","embedded system design dimension;environmental conditions;exploration algorithm;feasibility quantitative characterization;formal system cost modelling;hierarchical graph model;optimal flexibility/cost-tradeoff-curve;optimization;platform-based system;set-top box design;system alternative behaviour implementation;system behaviour adaption;system flexibility;system flexibility modelling","","7","","12","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
